"comment_content","Chat luong san pham","Dong goi","Giao hang","Cham soc khach hang","Thiet ke","Gia ban","Pin","Do nhay","Phu kien","Nut power","Con lan","Ket noi","Phi ship"
"Chuột nhạy, xài mượt, êm. Giá cũng OK. Sản phẩm giống y chang hình. Mình mua màu đen.",0,0,1,0,0,0,0,1,0,0,0,0,0
"Thấy có vài bạn nói bị vênh này kia nhưng mình thấy rất ok, bấm êm, dù k phải là im lặng hoàn toàn nhưng đã đỡ khó chịu hơn những loại khác rồi. Đáng tiền.",1,0,0,0,0,0,0,1,0,0,0,0,0
"Khi mới nhận được sản phẩm thì chuột đã có dấu hiệu bị chênh dẫn tới việc khi click sẽ bị trựơt và cản giác rất không tốt mặc dù 3 tấm mút để cân bằng vẫn còn. Lúc đầu mình vẫn nghĩ là cấu tạo chuột hoặc cảm giác sai nhưng sau khi check khoảng 3 con chuột của đồng nghiệp thì đúng là chuột bị lỗi. Mình lập thức báo với Tiki vào ngày thứ 2 sau đó (22/4) tuy nhiên tới hôm nay (29/4) mình vẫn phải chịu đưng việc này dù đã có thông báo sẽ tới lấy chuột đi bảo hành. Thực sự thất vọng về đơn hàng này. Tuy không thể đánh giá tổng quan nhưng qua việc này mình sẽ cân nhắc hơn khi mua tiki, đặc biệt với những đơn có giá trị lớn.",1,0,0,1,0,0,0,1,0,0,0,0,0
"This is the best cheap wireless mouse I've ever used, its build quality is excellent and it's so quite.",1,0,0,0,0,1,0,0,0,0,0,0,0
"TIKI cho hỏi chuột bị 1 vạch gờ lên do hoàn thiện của chuột như vậy hay do chuột của tôi bị lỗi ? Ảnh trên web của TIKI thì không thấy vạch này.",1,0,0,0,0,0,0,0,0,0,0,0,0
"hài lòng. chuột nhạy, nút bấm nhẹ nhàng không gây ra tiếng động đúng như hãng mô tả.",1,0,0,0,0,0,0,1,0,0,0,0,0
"Mình mua com m331 silent được gần 1 tháng. Chuột dùng khá tốt, 2 nút trái phải bấm êm, ko ồn. Mình mua màu xanh, nhìn đẹp nhưng xài mau dơ 2 bên hông. Sản phẩm tốt nhưng mình có cảm giác ko hài lòng về cách làm của Tiki. Trên shop ghi là m331 silent plus nhưng lúc giao là m331 silent. Bên dưới chuột bị trầy xước, kiểu như đã rê chuột, dùng nhiều lần rồi ấy. Và số serial trong thân chuột không khớp với trên vỏ hộp. Đã liên hệ Tiki nhưng câu trả lời thật sự gây khó hiểu cho mình. Không muốn làm phiền phức sự việc thêm, chỉ mong Tiki đọc được nhận xét này và cải thiện chất lượng dịch vụ hơn nữa, vì trước giờ mình vẫn tin tưởng Tiki.",1,0,1,1,1,0,0,1,0,0,0,0,0
"Nhận đc chuột nguyên hộp, tuy nhiên ko có dán tem bảo hành. Làm sao bảo hành vậy Tiki",0,0,1,0,0,0,0,0,0,0,0,0,0
"Tiki cam kết hàng mới 100% mà mở ra đã bị bóc và mút mặt dưới đã bị sử nhiều lần dẫn đến xước mờ",1,0,0,0,0,0,0,0,0,0,0,0,0
"chuột đi chính xác, ko bị khựng khi đi chậm như chuột bluetooth khác. Thích hợp để vẽ chi tiết. Dùng qua 4 5 con mới tìm được con như ý.",1,0,0,0,0,0,0,1,0,0,0,0,0
"Giao hàng nhanh, chuột màu đỏ khá đẹp, Bấm êm ru cực đã, vừa mềm vừa không gây tiếng ồn. Màu đỏ nhìn rất đã. Nên mua hơn so với chuột không dây 150k. Rất đáng tiền.",0,0,1,0,1,1,0,1,0,0,0,0,0
"Mình mới nhận hàng hôm nay, khi bóc hộp ngoài thì thấy vỏ hộp Logitech đã bị  đập hộp , dưới đáy chuột bị rất nhiều vết sướt (như hình), hàng có dấu hiệu là hàng cũ. Mình rất thích Tiki nhưng thật sự ko hài lòng trong lần này.",1,0,1,0,0,0,0,0,0,0,0,0,0
"Phím bấm trái phải ok. Nhưng con lăn không cuộn được. Bấm bằng con lăn chuột khi đóng mở web cũng rất cứng. Sản phẩm lỗi, đề nghị đổi giúp mình sp khác.",1,0,0,0,0,0,0,1,0,0,1,0,0
"Sản phầm là M331 Silent Plus mà Tiki lại giao hàng là M331 Silent. Cảm giác rất thất vọng với Tiki !",0,0,1,0,0,0,0,0,0,0,0,0,0
"Sp cầm rất chắc chắn, hoạt động nhạy, êm, ổn định. Nên trang bị thêm tấm lót chuột",0,0,0,0,1,0,0,1,0,0,0,0,0
"Sản phẩm không dán tem , Khi gặp sự cố cần bảo hành thì làm sao đây .Cần sự hỗ trợ từ Tiki (vì trường hợp có thể mình sẽ gửi bảo hành bên Logitech họ không hỗ trợ sp không có tem)",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chuột ngon, ổn định đặc biệt rất ít hao pin, nhược điểm phần cao su khó vệ sinh dễ bẩn nếu sử dụng lâu, thiết kế chưa được thẩm mỹ cho lắm nhưng chất lượng cũng bù đáp phần nào yếu điểm",1,0,0,0,1,0,0,0,0,0,0,0,0
"Giao hàng hết 14 ngày liên. Kiếp. Không biết kho Nova nó nằm chỗ nào mà chờ mỏi cả cuộc đời. T ở Hà nội.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Xài được hơn 1 tháng và không thấy gì phàn nàn. Cám ơn tiki nhiều, khuyên mn nên mua màu xanh vì thấy sang hơn màu đen nhiều",1,0,0,0,1,0,0,0,0,0,0,0,0
"- Chuột dùng rất ổn trong gần 4 tháng đầu nhưng sau đó đột ngột không sử dụng được nữa (đêm hôm trước dùng bt, sáng hôm sau bật lên đèn nhưng chuột k di chuyển)  - Mình mua 2 con, 1 ở Tiki và 1 ở Shopee, cách nhau 1 tuần, và 2 con hỏng cách nhau đúng 1 tu",1,0,0,0,0,0,0,0,0,0,0,0,0
"Sáng nay mới nhận em này về, mà không thấy có tem bảo hành gì hết, không biết có vấn đề thì bảo hành sao đây ???",0,0,0,0,0,0,0,0,0,0,0,0,0
"trước giờ mua hàng ở tiki k ít, rất hài lòng về việc đóng gói và giao hàng của Tiki,  nhưng khoảng 3 đơn gần nhất thì xuất hiện tình trạng k chấp nhận đc, lần này mình đặt mua chuột logitech này, giao hàng đã trễ hẹn mặc dù  m gọi nhắc đến 2 lần. khi giao thì lại gói hàng vào hộp k phù hợp kích thước khiến gói hàng lỏng lẻo, mốp méo nhìn rất kinh khủng, hộp lại còn bị rách, mua thiết bị điện tử đóng gói kiểu này thật sự k chấp nhận đc. k gián tem bảo hành trên chuột. về phần chuột thì cầm đầm tay, chuột k đèn nên khiến mình rất dễ chịu, còn tiết kiệm đc pin",0,1,1,0,1,0,1,0,0,0,0,0,0
"Chuột chất lượng chính hãng. Cầm đầm tay. Click chuột ko nghe tiếng. Thoải mái khi làm việc liên tục hay chơi game.",1,0,0,0,1,0,0,1,0,0,0,0,0
"Hàng đẹp, êm, nhạy, rất thích. Tiki giao hàng nhanh, chuyên nghiệp",1,0,1,0,1,0,0,1,0,0,0,0,0
"Rõ ràng tiêu đề là m331 silent plus , mà giao bản thường là cảm thấy ko được tôn trọng. Vì không muốn phiền phức trong đổi trả chờ lâu nên lấy dùng luôn.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Sau một năm sử dụng, tôi dùng trung bình 5 tiếng/ ngày. Chưa thay pin lần nào, pin zin theo chuột tới giờ vẫn sử dụng được, giờ thấy đang nháy đỏ nhưng vẫn sài được, chắc sắp hết pin :))) Đánh giá thiệt sự: Bền, pin trâu vl, ko tiếng động. Chuột tốt nhất trong giá tiền từ trước đến giờ mình mua được. Quá nên mua.",1,0,0,0,0,1,1,0,0,0,0,0,0
"tiki giao hàng đúng giờ, chuột gọn gàng, đẹp, dân văn phòng sử dụng laptop xài rất là hợp. chuột nhạy, ko đèn nên tiết kiệm pin rất nhiều.",0,0,1,0,1,0,1,1,0,0,0,0,0
"chuột ngon, lướt nhạy, bấm êm, trọng lượng vừa phải. con này chắc chỉ hợp với laptop, cắm vào máy cây chỉ kết nối tốt trong khoảng cách 40cm, ra xa chút hay có vật cản thì chịu",1,0,0,0,0,0,0,1,0,0,0,0,0
