"comment_content","Giao hang","Dong goi","Gia ban","Thiet ke","Chat luong san pham","Cham soc khach hang","Do nhay"
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   tốt",1.0,1.0,0.0,0.0,1.0,1.0,0.0
"về tiki mua hàng trên tiki thì luôn an tâm ở  điểm là hàng chính hãng chất lượng sản phẩm luôn đảm bảo  về sản phẩm   phần cứng cảm giác cầm vừa tay lái chắc chắn tốc độ cao rẽ trái phải mềm mượt êm ái   phần mềm đợi hết bảo hành sẽ tiến hành mổ khám nghiệm d",0.0,0.0,0.0,1.0,1.0,0.0,1.0
"giao hàng nhanh chóng và dịch vụ tốt thông báo bằng tin nhắn và gọi điện trước khi giao hàng  sản phẩm như quảng cáo và có sẵn pin kèm theo",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"đóng gói hàng cẩn thận chắc chắn   ",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc shop phục vụ cực kỳ nhiệt tình   shop uy tín tư vấn nhiiet tình",0.0,0.0,0.0,0.0,1.0,1.0,0.0
"giao hàng h tốc độ bàn thờ hộp nguyên seal tem chính hãng digiworld mọi chức năng đều tốt tuy nhiên sẽ ko mượt bằng chính hãng  kết nối qua bluetooth không mượt bằng receiver mình xài lenovo thinkpad",1.0,0.0,0.0,0.0,1.0,0.0,1.0
"chuột thì ok nhưng pin kèm theo xài k được chuột xài pin a mà đưa pin a hihi",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"vỏ mỏng dễ vỡ",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"hàng mới nguyên seal tem của npp digiworld mình cũng check thử serial trên trang logitech hàng chính hãng sản phẩm cầm trong tay thích lắm ạ    cho uy tin của shop va san pham hàng chính hãng mới    cho sendo vì minh ko su dung đươc gói chuyển phát nhanh ko biet tại sao process từ lúc order đến lúc nhận hang  ngay",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"rất thích chuột pin sạc như thấy này rất tiện lợi sản phẩm rất chất lượng",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"giá k thu k làm ăn như lol",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"sản phẩm tốt giao hàng nhanh",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"hình dễ thương chuột sử dụng ok kích thước cũng vừa tay nhưng do trước đó mình sử dụng là cỡ vừa nên ban đầu ko quen cho mấy",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"do nhu cầu công việc làm việc trên bàn kính nên mình bắt buộc phải nâng cấp silent logitech lên mx anywhere ban đầu thì không quen lắm vì tiếng ồn to và nặng hơn các dòng silent khá nhiều nhưng dùng  ngày thì quen dần chuột dùng chắc chắn tuy rằng nói là có thể sử dụng trên tất cả mọi mặt phẳng nhưng thật sự thì việc sự dụng chuột trên mặt kính lâu vẫn bị đơ và sẽ ảnh hưởng đến tuổi thọ của chuột",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"khá hài lòng chuột nhạy có điều cái usb dấu kĩ quá ",0.0,0.0,0.0,1.0,1.0,0.0,1.0
" sản phẩm khá tốt chỉ có thiết kế khe nhét receiver ở trong ổ pin mỗi lần lấy ra là phải tháo pin hơi bất tiện  giao hàng nhanh thân thiện",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"hinh thưc đep ơ băc chăc giao hang châm mơi dung đc chưa đây thang đa bi dinh chuôt trai vs phai bưc thât",0.0,0.0,0.0,1.0,0.0,0.0,1.0
"sản phẩm giống mô tả và tốt hơn mong đợi   hàng tốt rẻ nhẹ mới xài thấy ok",0.0,0.0,1.0,0.0,1.0,0.0,0.0
"đặt hàng lúc h mà h đã nhận được luôn công nhận tiki làm việc hiệu quả thật",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"hàng giao nhanh đóng gói kỹ càng bàn phím nhỏ gọn tiết kiệm diện tích bàn làm việc cảm giác hoàn thiện không tốt lắm nhưng ổn so với tầm giá này cực kỳ hài lòng",1.0,1.0,0.0,1.0,1.0,0.0,0.0
"hộp gói hàng kỹ và đẹp thời gian giao nhanh  chuột nhận được hình thức trông có vẻ mới vỏ hộp cũng vậy tuy nhiên có điều serial trong chuột và trên vỏ hộp không trùng nhau tem digi cũng lem luốc tiki vui lòng phản hồi giúp nguyên nhân",1.0,1.0,0.0,0.0,1.0,0.0,0.0
"chuột cầm vừa tay nhạy và êm không có cái tiêng click chuột",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"tạm dùng được chỉ ưng anh nhân viên giao hàng thôi",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"sản phẩm tương đối giống mô tả shop phục vụ chấp nhận được   ",0.0,0.0,0.0,0.0,1.0,1.0,0.0
"vừa nhận xong tức thì đặt đơn hàng giao h nhưng p đã nhận được hàng tiki quá nhanh quá nguy hiểm  chuột siêu êm click k nghe tiếng đúng cái tên silent plus thank you tiki",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"giao hàng đúng yêu cầu",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"sau khi nhận được sản phẩm thì có những nhận xét như sau   tiki giao hàng nhanh hơn mong đợi  sản phẩm hiện tại click êm con lăn nhạy ban đầu có sự cố khi kết nối qua bluetooth gọi điện cho bộ phận cskh và được hỗ trợ khắc phục tốt nên khá hài lòng sử dụng flow chuyển dữ liệu giữa  máy khá nhanh nhưng khi di chuyển chuột giữa  máy vẫn  thấy giựt ko mượt mà  điểm trừ nhỏ ở đây là sản phẩm đã bị tháo ra và đế chuột thấy có sự trầy xước nhẹ có lẽ do dán tem và kiểm tra chất lượng sau đó dán lại bằng băng keo cái này thì hình như các bạn mua khác đều cùng bị nhìn chung do ưu điểm  và  nên mình bỏ qua khuyết điểm  và đánh giá  sao cho chất lượng trước giờ toàn chỉ đặt mua sách bên tiki chứ ít khi mua mặt hàng khác bên này tuy ban đầu có sự cố thấy hơi phiền tôi nghĩ tiki nên ghi rõ cách khắc phục ko kết nối được bluetooth trong phần miêu tả sản phẩm để các bạn khác gặp phải cũng biết cách khắc phục vì thấy có vài bạn cũng comment là ko kết nối bluetooth được và đánh giá thấp sẽ tiếp tục ủng hộ tiki",1.0,0.0,0.0,0.0,1.0,1.0,1.0
