,comment_content,Chat Luong San Pham,Dong goi,Giao hang,Cham soc khach hang,Thiet ke,Gia Ban,Pin,Do Nhay,Phu Kien,Nut Power,Con Lan,Ket Noi,Phi Ship
0,sản phẩm rất tốt mình khuyên các bạn nên mua,1,0,0,0,0,0,0,0,0,0,0,0,0
1,giao không đúng yêu cầu nc mệt mỏi,0,0,1,0,0,0,0,0,0,0,0,0,0
2,đúng hàng xài tốt ok cửa hàng,1,0,0,0,0,0,0,0,0,0,0,0,0
3,đóng gói chắc chắn mẫu mã giống quả ng cáo chất lượng thì sử dụng 1 thời gian mới biết được giao hàng hơi lâu,1,1,1,0,0,0,0,0,0,0,0,0,0
4,hàng ok mới nhận hôm qua bấm không có tiếng không quen lắm,1,0,0,0,0,0,0,0,0,0,0,0,0
5,sản phẩm giống mô tả và tốt hơn mong đợi sản phẩm tốt được tặng cả lót chuột mnguoi nên mua nhé,1,0,0,0,0,0,0,0,1,0,0,0,0
6,sản phẩm giống mô tả cám ơn cửa hàng,1,0,0,0,0,0,0,0,0,0,0,0,0
7,con này xài ok mà giá quá chênh với,0,0,0,0,0,1,0,0,0,0,0,0,0
8,sản phẩm tốt,1,0,0,0,0,0,0,0,0,0,0,0,0
9,sản phẩm sử dụng rất ok và đẹp,1,0,0,0,1,0,0,0,0,0,0,0,0
10,tiếp tục phát huy sự uy tín nhé cửa hàng,0,0,0,0,0,0,0,0,0,0,0,0,0
11,sản phẩm hoàn toàn khác mô tả chất lượng sản phẩm rất tệ hàng giả mạo,1,0,1,0,0,0,0,0,0,0,0,0,0
12,một đôi pin bị hỏng,0,0,0,0,0,0,1,0,0,0,0,0,0
13,đóng gói hàng cẩn thận chắc chắn xài được nhưng giao hàng hơi lâu,0,1,1,0,0,0,0,0,0,0,0,0,0
14,đặt màu đen thì giao màu đỏ không hiểu cửa hàng có biết đọc đơn hàng kg chuột không có pin cũng không nói rõ trong mô tả sản phẩm,0,0,1,0,0,0,1,0,1,0,0,0,0
15,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn dùng mấy hôm rồi mình thấy vẫn rất ok chúc cửa hàng làm ăn phát đạt,1,1,1,0,0,0,0,0,0,0,0,0,0
16,chuột không có đầu cắm thì làm sao sử dụng đây cửa hàng ơi,0,0,0,0,0,0,0,0,1,0,0,0,0
17,cửa hàng phục vụ khá tốt được,0,0,0,1,0,0,0,0,0,0,0,0,0
18,hàng giả mạo thì nói thẳng ra cứ mập mờ,1,0,0,0,0,0,0,0,0,0,0,0,0
19,sản phẩm xài ok sendo làm việc tận tình xin cảm ơn,1,0,0,1,0,0,0,0,0,0,0,0,0
20,sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn hàng chất lượng chuột bấm êm đúng như mong đợi,1,1,0,0,0,0,0,0,0,0,0,0,0
21,sản phẩm bị lỗi mình gửi đổi lâu rồi mà không thấy hồi âm,0,0,0,0,0,0,0,0,0,0,0,0,0
22,chất lượng chưa ưng ý,1,0,0,0,0,0,0,0,0,0,0,0,0
23,mình nhận được hàng rồi cảm ơn cửa hàng sản phẩm rất đẹp chất lượng tốt vì đã thử luôn thời gian giao hàng nhanh cảm ơn cửa hàng nhiều,1,0,1,0,1,0,0,0,0,0,0,0,0
24,vỏ mỏng dễ vỡ,1,0,0,0,1,0,0,0,0,0,0,0,0
25,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc cửa hàng phục vụ cực kỳ nhiệt tình cửa hàng uy tín tư vấn nhiet tình,1,0,0,1,0,0,0,0,0,0,0,0,0
26,giao hàng không giống như hình quả ng cáo,0,0,1,0,0,0,0,0,0,0,0,0,0
27,chất lượng sản phẩm xuất sắc ok,1,0,0,0,0,0,0,0,0,0,0,0,0
28,hàng đểu quá,1,0,0,0,0,0,0,0,0,0,0,0,0
29,chạy được 1lúc là bị chập chờn chậm bực cả mình,1,0,0,0,0,0,0,0,0,0,0,1,0
30,cung được,0,0,0,0,0,0,0,0,0,0,0,0,0
31,sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn cửa hàng phục vụ cực kỳ nhiệt tình ok,1,1,0,0,0,0,0,0,0,0,0,0,0
32,mình mua cả bàn phím và chuột bluetoth hàng chính hãng sau 10 ngày sử dụng thấy ok hi vọng là lâu bền,1,0,0,0,0,0,0,0,0,0,0,0,0
33,giao hàng lẹ quá hàng chính hãng gói hàng gì mà ngồi tháo cả buổi cửa hàng phục vụ quá tốt ủng hộ cửa hàng thời gian tới,1,0,1,0,0,0,0,0,0,1,0,0,0
34,đúng mô tả nhưng bluetoth chưa nhạy,0,0,1,0,0,0,0,0,0,0,0,0,0
35,đóng gói hàng rất kỹ và chắc chắn chuột không có công tắc bật tắt rất bất tiện khi thường xuyên phải tháo lắp pin,0,1,0,0,1,0,0,0,0,0,0,0,0
